Degree at start of phase,Stance,,,,Initial swing,,,,Mid swing,,,,Terminal swing,,,
,Left,,Right,,Left,,Right,,Left,,Right,
,Mean,STD,Mean,STD,Mean,STD,Mean,STD,Mean,STD,Mean,STD,Mean,STD,Mean,STD
Hip flex/ext,34.653684000000005,2.2769882173924394,36.68098823529412,2.0951341071445557,2.1716912022505035,1.1343979130120534,0.7936559995632799,1.2951569510296552,1.736359094232324,2.3063454146354916,1.8932866936423056,3.2433808565446505,49.25699620202021,2.3838067049087384,49.219436145771425,3.099577712355761
Hip ab/add,1.0378081599999995,2.172075437490737,9.058904313725494,2.0556776296997685,-8.465548244444449,1.3572358836719398,-4.1338393048128355,1.0985851446729034,-9.60768355959596,1.1009277200230811,-4.459786823133294,1.5632795312392511,1.077694233822223,1.5962961518911585,8.505417268766095,2.1682816950940906
Hip rotation,8.509552399999999,1.6999046376541949,21.756239215686268,1.588227499024686,0.7454375579393906,1.5980487928169984,17.345220320855617,1.1885911085744474,12.848395094949499,3.1856028546843405,28.358425351554768,1.4389806590096328,15.990992484848482,1.84047508877313,29.62940043572984,2.077157889047821
Knee flex/ext,12.984839800000001,2.94701242303896,17.547586274509797,2.3573423717514492,10.797486266666672,2.4505985306662947,14.367299643493764,2.831271541824538,48.29247824242427,5.9624049973089965,52.245193721529034,11.447391820045944,45.33748486868682,6.0102417494034786,41.14997516339865,6.410914137500023
Knee ab/add,7.791096399999998,0.9520506485618504,13.01603333333334,1.0664978123704003,7.080879987878791,0.8590432463872799,11.847718877005349,1.2614365270630297,17.719589333333335,3.1618799204903683,28.425194989106767,3.251732392678033,14.993529284848472,1.8819674121189616,23.454186868686847,3.2749514120253846
Knee rotation,-45.244468000000005,2.4394745095975074,-22.270703921568632,1.4217143648703623,-48.17747387878789,1.8764748810128133,-28.69947896613191,1.5333832334187907,-42.26014658585857,3.4720354781616285,-22.365106258665083,5.473290607861345,-42.864538141414144,4.381453225040182,-21.74948843335315,3.331639228600876
Pelvis flex/ext,17.94056,1.1962339015426708,19.232678431372552,1.2420231746620267,23.494788666666672,1.3760110636641556,21.005717825311944,1.301330083903619,19.684581050505045,1.1777855966780775,18.029112081600324,1.2980460050184355,21.00960529292929,1.3102260785740747,23.57072867894632,1.3025321883976855
Pelvis ab/add,2.5627729000000006,1.0274057727315387,3.1251545098039215,0.7176910895318312,-6.072633573737375,1.074455783460638,-5.273225811051694,0.8861705851264112,-3.172495258585859,0.7226585478618289,-2.576651716775599,1.0475042280834264,5.290419525252524,0.8922096685751567,5.970398698752226,1.0556079465018369
Pelvis rotation,5.929954180000003,3.596740313953443,-4.0973306274509795,3.143306781548287,4.149188229454545,2.7895277036183637,-6.187502000000002,2.608251774579327,3.7542697202020214,3.0996589922294477,-6.024584652208354,3.2826735185067704,6.04880807078788,2.666501359230445,-4.216827525826898,2.6422003245811974
Ankle flex/ext,-12.035663400000002,2.8724160440274735,-2.052863254901961,2.534776110575842,-33.63631868686869,2.2937221946959347,-20.82706114081995,1.651318007854019,-14.347168337373738,3.0021385147519677,-13.305613260051492,2.869426516224514,-8.420215987272732,2.5734785946042407,1.8042322149138388,2.840930184492079
Ankle ab/add,0.9445696400000003,0.380583403207957,4.375263333333334,0.35714482035792805,0.0009229477674757946,0.4662549464591491,3.169311069518717,0.34178502048039494,2.009403195959596,0.30340438350269433,5.233507470786294,0.18710205957759113,1.1754500780404031,0.38799450502049293,5.2657395662507405,0.33875112071843716
Ankle rotation,2.451281723999999,2.6734359175276214,-19.266764705882352,2.1365077743211502,8.999833375757568,3.1977576206088396,-11.813268288770054,2.1883919544517942,-5.025421820202019,2.1225738935699323,-24.220920915032682,1.0354403731541992,0.8298028817171783,2.7247013580208534,-24.377157813428397,1.8815251204243413
